run_id,t,Q0,Q1,Q2,Q3,Q4,Q5,completed,op_feed_util,scanner_util,m1_fixture_util,m2_cooling_slot_util,op_battery_monitor_util,m3_punch_util,op_maint_util,m4_module_util,op_sort_util,op_pack_util
high_arrivals_rep001,30,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_arrivals_rep001,60,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_arrivals_rep001,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_arrivals_rep001,120,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_arrivals_rep001,150,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_arrivals_rep001,180,8,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_arrivals_rep001,210,7,1,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_arrivals_rep001,240,5,1,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
high_arrivals_rep001,270,3,3,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
high_arrivals_rep001,300,1,4,1,0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
high_arrivals_rep001,330,0,5,2,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
high_arrivals_rep001,360,0,4,3,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
high_arrivals_rep001,390,19,5,3,0,0,0,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
high_arrivals_rep001,420,17,6,4,0,0,0,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
high_arrivals_rep001,450,42,8,3,0,0,0,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
high_arrivals_rep001,480,41,8,4,0,1,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
high_arrivals_rep001,510,39,10,4,0,1,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
high_arrivals_rep001,540,37,11,4,0,0,0,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
high_arrivals_rep001,570,36,11,5,0,1,0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
high_arrivals_rep001,600,52,13,5,0,0,0,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
high_arrivals_rep001,630,51,13,5,0,0,0,2,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
high_arrivals_rep001,660,49,15,5,0,0,0,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
high_arrivals_rep001,690,47,16,6,0,0,0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
high_arrivals_rep001,720,45,16,8,0,0,0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
high_arrivals_rep001,750,43,17,8,0,1,0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
high_arrivals_rep001,780,70,18,8,0,0,0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
high_arrivals_rep001,810,68,19,9,0,0,0,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
high_arrivals_rep001,840,66,20,9,0,0,0,4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
high_arrivals_rep001,870,64,21,9,0,0,0,5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
high_arrivals_rep001,900,63,20,11,0,0,0,5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
high_arrivals_rep001,930,61,22,11,0,0,0,6,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
high_arrivals_rep001,960,83,23,12,0,0,0,6,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
high_arrivals_rep001,990,81,23,14,0,0,0,6,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
high_arrivals_rep001,1020,79,24,14,0,0,0,7,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
