laptop_id,true_model_id,recognized,auto_success,new_model,new_model_registered,t_arrival,t_departure,cycle_time,state_history
12,0,True,True,False,False,1262.47,1524.64,262.17,S0_ARRIVAL[1262.5-1262.5] | S1_IMAGING_WAIT[1262.5-1266.9] | S1_IMAGING[1266.9-1276.6] | S2_RETRIEVAL_WAIT[1276.6-1276.6] | S2_RETRIEVAL[1276.6-1278.1] | S3_LOOKUP[1278.1-1280.1] | S4_AUTOMATION_WAIT[1280.1-1280.1] | S4_AUTOMATION[1280.1-1313.5] | S5_HANDOVER_WAIT[1313.5-1342.4] | S5_HANDOVER[1342.4-1519.6] | S8_LOGGING[1519.6-1524.6] | DEPARTED[1524.6-1524.6]
13,0,True,False,False,False,1270.34,1926.37,656.02,S0_ARRIVAL[1270.3-1270.3] | S1_IMAGING_WAIT[1270.3-1276.6] | S1_IMAGING[1276.6-1291.1] | S2_RETRIEVAL_WAIT[1291.1-1291.1] | S2_RETRIEVAL[1291.1-1292.4] | S3_LOOKUP[1292.4-1294.4] | S4_AUTOMATION_WAIT[1294.4-1313.5] | S4_AUTOMATION[1313.5-1343.9] | S7_MANUAL_FALLBACK_WAIT[1343.9-1519.6] | S7_MANUAL_FALLBACK[1519.6-1921.4] | S8_LOGGING[1921.4-1926.4] | DEPARTED[1926.4-1926.4]
14,1,True,True,False,False,1423.41,1941.54,518.13,S0_ARRIVAL[1423.4-1423.4] | S1_IMAGING_WAIT[1423.4-1423.4] | S1_IMAGING[1423.4-1435.8] | S2_RETRIEVAL_WAIT[1435.8-1435.8] | S2_RETRIEVAL[1435.8-1437.1] | S3_LOOKUP[1437.1-1439.1] | S4_AUTOMATION_WAIT[1439.1-1439.1] | S4_AUTOMATION[1439.1-1472.5] | S5_HANDOVER_WAIT[1472.5-1807.6] | S5_HANDOVER[1807.6-1936.5] | S8_LOGGING[1936.5-1941.5] | DEPARTED[1941.5-1941.5]
15,0,True,True,False,False,1447.03,2058.46,611.44,S0_ARRIVAL[1447.0-1447.0] | S1_IMAGING_WAIT[1447.0-1447.0] | S1_IMAGING[1447.0-1451.5] | S2_RETRIEVAL_WAIT[1451.5-1451.5] | S2_RETRIEVAL[1451.5-1453.0] | S3_LOOKUP[1453.0-1455.0] | S4_AUTOMATION_WAIT[1455.0-1472.5] | S4_AUTOMATION[1472.5-1492.9] | S5_HANDOVER_WAIT[1492.9-1921.4] | S5_HANDOVER[1921.4-2053.5] | S8_LOGGING[2053.5-2058.5] | DEPARTED[2058.5-2058.5]
16,4,True,True,False,False,1619.54,2045.51,425.96,S0_ARRIVAL[1619.5-1619.5] | S1_IMAGING_WAIT[1619.5-1619.5] | S1_IMAGING[1619.5-1632.7] | S2_RETRIEVAL_WAIT[1632.7-1632.7] | S2_RETRIEVAL[1632.7-1634.6] | S3_LOOKUP[1634.6-1636.6] | S4_AUTOMATION_WAIT[1636.6-1636.6] | S4_AUTOMATION[1636.6-1661.2] | S5_HANDOVER_WAIT[1661.2-1936.5] | S5_HANDOVER[1936.5-2040.5] | S8_LOGGING[2040.5-2045.5] | DEPARTED[2045.5-2045.5]
17,9,False,False,True,False,1663.64,,,S0_ARRIVAL[1663.6-1663.6] | S1_IMAGING_WAIT[1663.6-1663.6] | S1_IMAGING[1663.6-1671.1] | S2_RETRIEVAL_WAIT[1671.1-1671.1] | S2_RETRIEVAL[1671.1-1672.6] | S6_MANUAL_NEW_WAIT[1672.6-2040.5] | S6_MANUAL_NEW[2040.5--1.0]
18,5,True,True,False,False,1835.19,2163.18,327.98,S0_ARRIVAL[1835.2-1835.2] | S1_IMAGING_WAIT[1835.2-1835.2] | S1_IMAGING[1835.2-1843.3] | S2_RETRIEVAL_WAIT[1843.3-1843.3] | S2_RETRIEVAL[1843.3-1845.4] | S3_LOOKUP[1845.4-1847.4] | S4_AUTOMATION_WAIT[1847.4-1847.4] | S4_AUTOMATION[1847.4-1874.5] | S5_HANDOVER_WAIT[1874.5-2053.5] | S5_HANDOVER[2053.5-2158.2] | S8_LOGGING[2158.2-2163.2] | DEPARTED[2163.2-2163.2]
19,2,True,True,False,False,1901.21,2263.15,361.94,S0_ARRIVAL[1901.2-1901.2] | S1_IMAGING_WAIT[1901.2-1901.2] | S1_IMAGING[1901.2-1907.6] | S2_RETRIEVAL_WAIT[1907.6-1907.6] | S2_RETRIEVAL[1907.6-1909.2] | S3_LOOKUP[1909.2-1911.2] | S4_AUTOMATION_WAIT[1911.2-1911.2] | S4_AUTOMATION[1911.2-1940.4] | S5_HANDOVER_WAIT[1940.4-2158.2] | S5_HANDOVER[2158.2-2258.1] | S8_LOGGING[2258.1-2263.1] | DEPARTED[2263.1-2263.1]
20,10,False,False,True,False,1970.38,,,S0_ARRIVAL[1970.4-1970.4] | S1_IMAGING_WAIT[1970.4-1970.4] | S1_IMAGING[1970.4-1978.4] | S2_RETRIEVAL_WAIT[1978.4-1978.4] | S2_RETRIEVAL[1978.4-1981.0] | S6_MANUAL_NEW_WAIT[1981.0-2258.1] | S6_MANUAL_NEW[2258.1--1.0]
21,0,True,True,False,False,2090.05,,,S0_ARRIVAL[2090.1-2090.1] | S1_IMAGING_WAIT[2090.1-2090.1] | S1_IMAGING[2090.1-2100.6] | S2_RETRIEVAL_WAIT[2100.6-2100.6] | S2_RETRIEVAL[2100.6-2102.1] | S3_LOOKUP[2102.1-2104.1] | S4_AUTOMATION_WAIT[2104.1-2104.1] | S4_AUTOMATION[2104.1-2140.1] | S5_HANDOVER_WAIT[2140.1--1.0]
22,0,True,True,False,False,2107.08,,,S0_ARRIVAL[2107.1-2107.1] | S1_IMAGING_WAIT[2107.1-2107.1] | S1_IMAGING[2107.1-2112.6] | S2_RETRIEVAL_WAIT[2112.6-2112.6] | S2_RETRIEVAL[2112.6-2114.4] | S3_LOOKUP[2114.4-2116.4] | S4_AUTOMATION_WAIT[2116.4-2140.1] | S4_AUTOMATION[2140.1-2177.9] | S5_HANDOVER_WAIT[2177.9--1.0]
23,2,True,True,False,False,2119.32,,,S0_ARRIVAL[2119.3-2119.3] | S1_IMAGING_WAIT[2119.3-2119.3] | S1_IMAGING[2119.3-2128.8] | S2_RETRIEVAL_WAIT[2128.8-2128.8] | S2_RETRIEVAL[2128.8-2130.6] | S3_LOOKUP[2130.6-2132.6] | S4_AUTOMATION_WAIT[2132.6-2177.9] | S4_AUTOMATION[2177.9-2208.5] | S5_HANDOVER_WAIT[2208.5--1.0]
